Date,AAPL,MSFT,GOOGL,META,NVDA,ADBE,CRM,INTC,AMD,CSCO,AVGO,TXN,QCOM,AMAT,MU,AMGN,GILD,REGN,VRTX,BIIB,ILMN,DXCM,AMZN,TSLA,COST,PEP,SBUX,MDLZ,KHC,MNST,PYPL,ISRG,MELI,FTNT,NFLX,HON,CSX,ODFL,FAST,PAYX,CMCSA,TMUS,CHTR,XEL,AEP,EXC,FANG,MTDR,RRC,IDXX
2018-03-08,95096400,25887800,33862000,17225900,411912000,2284400,6127900,29481200,76011200,20285600,33554000,3573500,8902100,12223400,51685900,9192600,5707800,836100,1060700,1313700,778504,3846400,77252000,53493000,6061500,5437700,7434700,8374400,3508400,5876000,6878600,1331400,950200,12733000,113401000,2420226,13981200,1660800,6780000,2175100,24659544,2847200,1058300,2844500,2346300,6401672,772900,1221100,5935600,496900
2018-03-09,128740800,36937300,42662000,18526300,505524000,2642300,5637800,32727900,89674400,22230900,30782000,5535900,7655300,18066500,65504600,5674100,7024800,759700,1415300,1715000,823531,3887200,90686000,82602000,3288100,3680600,9539600,9751800,4911000,7862000,7667600,2355300,497300,8948500,145002000,3193242,18505200,1827000,10512000,1452100,25327806,3644000,940200,2384000,3379800,10816150,961500,1115300,10375500,631100
2018-03-12,128828400,26073700,44306000,15301200,605060000,3216900,5609800,32044400,83748700,18299800,53881000,4270800,15801300,16207800,138651600,6972400,7515700,1234400,1357600,2349000,658434,6297600,103484000,123960000,2394100,4509600,10550300,6134400,2653200,8163800,6607600,2233800,562100,6276500,203692000,2673618,12213300,1144200,7238800,1261200,19150196,2965200,2001300,3242000,3190400,11938030,886300,950100,5822800,468200
2018-03-13,126774000,35387800,43140000,18067500,619772000,4732000,4641800,45573900,174302600,23411200,66855000,5845500,38572700,15676500,142315800,4712900,7608900,851500,1989500,2258600,623482,6340400,130638000,89487000,1964300,4590000,10411400,7363000,3360700,6671600,6414700,1696800,477200,6265000,129172000,2087685,14785800,2247300,6342800,1639100,21959607,4421100,823300,4738600,3006400,9135152,858700,697800,5290000,443200
2018-03-14,117473600,32132000,41870000,16821700,505496000,3357600,5402400,24993500,80540800,21141100,39619000,3240600,29759100,11896400,80306900,3613300,6527300,577800,1036300,2039500,870613,4083200,85188000,119511000,2866000,4055700,6488500,9521200,3900900,6996600,14281100,1882800,315600,3752000,104751000,2245432,15628200,1432200,5489200,1504400,27856596,3283600,1298800,2768300,3138900,7484437,1038400,600400,8091500,422000
2018-03-15,90975200,27611000,33382000,15614300,401952000,4457000,4603500,25631200,66373900,23520400,57990000,3983300,10494300,11944200,50963700,3320500,5946600,569600,952500,1342900,760309,2327200,81394000,98472000,1811300,3906800,7377000,5927200,4870800,4597600,9082000,1455000,667000,4811000,56429000,2045508,15056100,1705500,9905600,1408700,23693269,2679300,834100,3970200,4182500,7656462,1146300,1122100,6984600,445000
2018-03-16,157618800,49081300,58656000,24403400,399456000,8783000,6662900,42559800,37591000,56129000,113955000,8049700,25574500,15070200,69323100,16878400,9564900,1348900,2462100,2294200,1124940,3682800,108500000,91759500,3569400,7730800,13030900,9650000,7204500,7860800,8356200,2881200,717300,11374500,73337000,4792409,26262600,3381900,15110000,3152800,49729776,6054700,2883000,6698500,6399400,16514859,1997700,1471800,8140300,785300
2018-03-19,133787200,33344100,63656000,88140100,713772000,4029300,6830400,31115200,53308600,26734100,71267000,6715200,14131400,13747300,71373300,3970400,8917300,924000,1161500,1530400,845736,3135600,131616000,112264500,2493200,4216700,9350600,17142800,6947200,10876800,9028900,1916700,1416100,6928500,99252000,2405946,13749900,1799100,10164400,1814200,36723366,3690300,1370100,3357900,2595600,8576034,1603000,1054200,4971500,627400
2018-03-20,78597600,23075200,54598000,129851800,554696000,5019300,7113600,22215000,65116900,22809700,61918000,3781900,10615400,8527300,53890500,2582200,5798300,690000,1674300,1313400,606109,2394400,91632000,71464500,1852500,3319000,5888400,8369100,7502500,5136400,7388100,1804500,632000,3586000,59919000,3012248,10785000,1788300,9830400,1547400,22293578,2547800,1087900,3539900,2496400,13878118,1343300,758200,7241900,325400
2018-03-21,148219600,24457100,44898000,106598800,438688000,3971800,14824000,23239500,44691700,22528200,54912000,3703800,12231900,17171400,51220200,2531100,5826500,431300,1050000,1340000,729983,6016800,95016000,89376000,2048300,3867600,6569100,14592000,7088700,6143800,6757200,1477800,440400,7636500,52639000,2866789,11420400,1585200,6119200,2717900,23113994,2577400,907300,6089700,2805300,10715065,1280900,980900,10035700,415300
2018-03-22,165963200,38604700,69312000,73743000,551196000,3008700,10950500,30916000,59944200,29520800,43078000,7208400,13554600,14876400,74274700,3553000,7861000,608400,1095500,1748600,843371,4062000,126412000,74097000,2489800,4325500,6846500,8815300,8156600,6989600,9608400,2003700,699100,4548000,80633000,2855387,15339900,1484400,8096400,2419700,57534774,4103500,2769200,5061500,3137500,7869706,1439100,845900,6659000,537000
2018-03-23,164115200,44068900,49880000,53609700,735620000,4297200,10902100,37683900,54844500,31759200,59070000,6748900,14713300,19399900,118369500,4529600,9268900,693300,1319400,3039600,897444,7224000,160120000,99823500,2351800,4873300,9476800,11222000,6316300,6377400,9569100,3037800,571700,6039000,95299000,4001239,15771600,1457400,9270400,4116300,46801928,5137700,1195400,4278800,3111800,6596270,1468600,998000,5731300,603300
2018-03-26,150164800,56396800,65984000,126116600,611424000,4485400,13171700,39306200,75878500,29731900,48713000,6760400,12093900,14489000,70260700,4217100,7370900,733600,1327300,2226800,966731,5076800,112494000,125628000,2036600,4119400,8444900,7314400,5310600,5036800,8682600,3415800,476600,4890500,119883000,2485761,16942200,1692900,11924800,7059100,34408829,3395300,1747500,2924300,2917800,4762734,1771700,953700,5606200,563300
2018-03-27,163690400,56569000,60816000,79117000,1409000000,5468100,8304700,38777000,68551300,30942000,63917000,5308400,12243200,17542500,67785100,3963100,6370900,996300,1289300,1880500,669536,9202000,139992000,208080000,2495300,5036300,7562900,6786800,5276500,3674800,7980300,1969800,1360000,6692000,120686000,3410324,16410900,1705800,17679600,4353600,33089057,2462600,1494200,4414400,3484400,8051966,1285700,1487600,6523700,492300
2018-03-28,166674000,52501100,77698000,60029200,945904000,4503200,6489500,37970900,64832100,36696800,41744000,5352200,12925500,16677800,62987500,4545900,6487900,1037400,1443700,1991800,734917,9470000,274106000,315021000,2168700,6413000,9301900,9293100,4778200,3248000,14370300,2185500,822400,10064000,189729000,5559558,22914300,1568400,11068800,3364900,35111449,2589700,1305600,4727900,3274700,10774791,2530900,950200,7139900,616600
2018-03-29,153594000,45867500,69338000,59434300,916628000,3757400,7794700,45265800,48681400,55021200,46874000,4311100,8482500,12580200,61458800,3769800,5694900,1032800,1527200,1237800,740057,7200400,251622000,227560500,3016000,3829500,12015200,10988000,5001900,3722000,11064300,2880600,573700,6760500,191455000,2848523,14846100,1600200,14580400,3104900,34722954,2703100,1521600,3709400,2238900,8725768,2045500,1140900,7081500,723000
2018-04-02,150347200,48515400,65068000,36796000,922092000,3494900,6461300,67187800,64824600,36791800,53088000,5865400,16469600,21063600,59875500,4759800,8234600,1317100,1804500,1550300,834736,6248400,209272000,241710000,3599200,4325500,16778300,9436800,5294200,5587000,11417700,2268000,536800,4772000,134058000,4529940,17373600,1850400,12524800,3210600,37968128,2595100,1753000,3007100,2808500,10372977,2427000,1015500,7856500,479200
2018-04-03,121112000,37213800,51322000,42543900,667432000,3017800,5193300,39432400,54891600,28003900,45569000,6898700,7930700,10802200,52436400,3374000,5987000,815400,1542300,1456600,760926,5432800,204624000,282666000,2287000,4699000,10908200,16719000,6325300,6917400,8886000,1864800,414800,7500000,126949000,3548699,18300000,2177400,8803600,1967700,31235892,3168800,1706800,3288800,2551500,8502008,1464400,1229900,5153000,604600
